1101	Abilene Chr	[0.35294117647058826, 16.61764705882353, 18.073529411764707, 0.034482758620689655, 14.54468085106383, 19.01276595744681, 0.6666666666666666, 16.25, 16.666666666666668]
1102	Air Force	[0.6190476190476191, 17.597633136094675, 16.869822485207102, 0.19444444444444445, 14.910344827586206, 17.082758620689656, 0.5714285714285714, 17.107142857142858, 16.714285714285715]
1103	Akron	[0.8723404255319149, 17.46031746031746, 14.708994708994709, 0.42857142857142855, 16.91549295774648, 17.366197183098592, 0.5882352941176471, 15.956521739130435, 15.956521739130435]
1104	Alabama	[0.7551020408163265, 16.68702290076336, 15.04325699745547, 0.23529411764705882, 15.36231884057971, 16.434782608695652, 0.36363636363636365, 16.21978021978022, 16.681318681318682]
1105	Alabama A&M	[0.45161290322580644, 16.333333333333332, 16.142857142857142, 0.2708333333333333, 14.81653746770026, 17.65891472868217, 0.3333333333333333, 15.166666666666666, 16.125]
1106	Alabama St	[0.71875, 17.158301158301157, 15.8996138996139, 0.36363636363636365, 16.146478873239438, 18.056338028169016, 0.3, 16.88888888888889, 17.333333333333332]
1107	Albany NY	[0.7777777777777778, 16.63736263736264, 14.961538461538462, 0.5882352941176471, 15.8679706601467, 15.506112469437653, 0.3333333333333333, 15.541666666666666, 16.625]
1108	Alcorn St	[0.4482758620689655, 15.854077253218884, 15.871244635193133, 0.16, 14.883374689826303, 18.11910669975186, 0.18181818181818182, 15.133333333333333, 17.044444444444444]
1109	Alliant Intl	['Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan']
1110	American Univ	[0.6842105263157895, 15.474025974025974, 14.188311688311689, 0.34545454545454546, 14.513513513513514, 15.567567567567568, 0.6666666666666666, 12.416666666666666, 13.25]
1111	Appalachian St	[0.5294117647058824, 16.82608695652174, 16.91304347826087, 0.23404255319148937, 16.04736842105263, 18.426315789473684, 0.3333333333333333, 16.0, 16.25]
1112	Arizona	[0.9607843137254902, 19.2390243902439, 14.429268292682927, 0.696969696969697, 17.677902621722847, 15.827715355805243, 0.8148148148148148, 17.93548387096774, 15.188940092165899]
1113	Arizona St	[0.8518518518518519, 18.063492063492063, 15.46031746031746, 0.3125, 16.923076923076923, 17.676923076923078, 0.25, 17.896907216494846, 18.88659793814433]
1114	Ark Little Rock	[0.6097560975609756, 17.765765765765767, 16.654654654654653, 0.3, 15.85276073619632, 18.32515337423313, 0.4, 16.023809523809526, 16.595238095238095]
1115	Ark Pine Bluff	[0.7407407407407407, 16.87962962962963, 15.675925925925926, 0.3018867924528302, 14.830985915492958, 17.845070422535212, 0.2727272727272727, 14.409090909090908, 16.227272727272727]
